Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.9,8631366736,100,86313667.4,74979643.5,61966298,140903430,24952418.9,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
38.1,5308237716,100,53082377.2,49114875.5,24179868,134755868,24092274.0,"void recon_3d_direct_halfsym_tilecone_real<(int)256, (int)64, (bool)1>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, float, float *)"
0.0,3777981,60,62966.4,25952.5,2112,2443153,313231.1,"k_compute_uvw_xyz(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,2658425,200,13292.1,8240.0,1088,65921,12636.3,"invnorm3_kernel(const float *, const float *, const float *, float *, int)"
0.0,805092,100,8050.9,4432.5,992,32001,7468.7,"build_sat_raw_from_pos(const float *, float *, float *, float *, int)"
0.0,514406,60,8573.4,8128.0,5248,23040,3814.2,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,447266,2,223633.0,223633.0,217281,229985,8983.1,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,201349,100,2013.5,1712.0,1343,3424,656.5,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,59489,6,9914.8,9984.5,9696,10080,174.7,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,41505,2,20752.5,20752.5,20385,21120,519.7,"build_tile_cone_meta_kernel(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,11873,6,1978.8,1984.0,1952,2016,24.1,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,9600,6,1600.0,1600.0,1568,1632,20.2,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,8128,6,1354.7,1312.0,1280,1472,92.0,"k_norm3(const float *, const float *, const float *, float *, int)"
