Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.4,502344979568,22920,21917320.2,22038197.0,16635821,23408175,427155.7,"void recon_3d_direct_planaware_tileowned_real<(int)256, (int)128>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, int, float, const unsigned char *, const unsigned char *, const int *, int, float *)"
45.6,429369330822,60,7156155513.7,7299826117.5,6143568341,8018221214,658597836.9,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
0.9,8590366552,22920,374797.8,370246.0,276069,482984,22634.0,"void build_recon_task_flags_chunk_kernel<(int)128>(int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, float, unsigned char *, unsigned char *)"
0.1,712399809,22920,31082.0,25185.0,3360,113058,22563.6,"build_active_tile_flags_from_recon_task_flags_kernel(int, int, const unsigned char *, const unsigned char *, unsigned char *)"
0.0,136688047,22920,5963.7,5728.0,3936,22112,1263.9,"void cub::CUB_200302_520_NS::DeviceSelectSweepKernel<cub::CUB_200302_520_NS::detail::device_select_policy_hub<int, unsigned char, int, (bool)0, (bool)0>::Policy900, cub::CUB_200302_520_NS::CountingInputIterator<int, long>, unsigned char *, int *, int *, cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, cub::CUB_200302_520_NS::NullType, cub::CUB_200302_520_NS::NullType, int, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int)"
0.0,61325403,3074,19949.7,9985.0,9887,14638123,371754.4,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,29243434,22920,1275.9,1312.0,800,1664,149.4,"void cub::CUB_200302_520_NS::DeviceCompactInitKernel<cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,5577743,4,1394435.8,1394243.5,1392085,1397171,2352.7,"void build_tile_cone_meta_kernel<(int)256>(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,1716538,2,858269.0,858269.0,857069,859469,1697.1,"build_nm1_kernel(const float *, float *, long long)"
0.0,607117,120,5059.3,2320.5,1952,21824,5107.0,"normalize3_inplace_kernel(float *, float *, float *, int)"
0.0,329511,4,82377.8,82242.0,81185,83842,1317.7,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,238146,60,3969.1,3952.5,3391,4992,437.6,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,182791,30,6093.0,6112.5,5472,6880,250.2,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,151776,30,5059.2,5056.0,4768,5344,128.4,"k_compute_uvw_xyz_half(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,143267,60,2387.8,2543.5,1696,3296,579.4,"apply_pair_weight_to_viss_half_kernel(float2 *, const float *, int)"
0.0,79618,30,2653.9,2672.5,2464,3009,107.1,"reduce_phase_halfsym_fused_kernel(const float2 *, int, int, const float *, int, float2 *)"
0.0,47136,4,11784.0,11696.0,11584,12160,264.4,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,24801,4,6200.3,6175.5,5921,6529,295.2,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,8897,4,2224.3,2256.0,1888,2497,251.7,"k_norm3(const float *, const float *, const float *, float *, int)"
