Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.6,458477524075,22920,20003382.4,20033570.5,16320260,21379087,427087.2,"void recon_3d_direct_tasklist_vv_real<(int)256, (int)128>(long long, const float *, const float *, const float *, int, const float *, const float *, const float *, const float2 *, int, int, const int *, int, float *)"
43.6,429115502363,60,7151925039.4,7306185691.5,6146901558,8021914589,660223342.2,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
8.8,87083730079,22920,3799464.7,3800381.0,2771631,4335279,116132.6,"void recon_3d_direct_tasklist_mixed_real<(int)256, (int)128>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, int, float, const int *, int, float *)"
0.9,8550095261,22920,373040.8,373246.0,278911,401342,9256.3,"void build_recon_task_flags_chunk_kernel<(int)128>(int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, float, unsigned char *, unsigned char *)"
0.1,945022525,45840,20615.7,13152.0,5633,44832,8984.1,"void cub::CUB_200302_520_NS::DeviceSelectSweepKernel<cub::CUB_200302_520_NS::detail::device_select_policy_hub<int, unsigned char, int, (bool)0, (bool)0>::Policy900, cub::CUB_200302_520_NS::CountingInputIterator<int, long>, unsigned char *, int *, int *, cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, cub::CUB_200302_520_NS::NullType, cub::CUB_200302_520_NS::NullType, int, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int)"
0.0,372897065,45840,8134.8,2272.5,832,25440,6900.9,"void cub::CUB_200302_520_NS::DeviceCompactInitKernel<cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,61297052,3074,19940.5,9985.0,9887,14637949,371776.8,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,5572789,4,1393197.3,1394085.0,1388088,1396531,3876.8,"void build_tile_cone_meta_kernel<(int)256>(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,1713715,2,856857.5,856857.5,856760,856955,137.9,"build_nm1_kernel(const float *, float *, long long)"
0.0,582300,120,4852.5,2304.0,1952,21312,5296.0,"normalize3_inplace_kernel(float *, float *, float *, int)"
0.0,330878,4,82719.5,83103.0,81056,83616,1149.7,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,250554,60,4175.9,3904.0,3360,16960,1742.2,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,181310,30,6043.7,6127.5,5472,6304,225.4,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,159393,60,2656.6,2528.0,1696,17568,2033.9,"apply_pair_weight_to_viss_half_kernel(float2 *, const float *, int)"
0.0,150653,30,5021.8,5024.0,4768,5312,90.1,"k_compute_uvw_xyz_half(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,78688,30,2622.9,2640.0,2464,2784,98.9,"reduce_phase_halfsym_fused_kernel(const float2 *, int, int, const float *, int, float2 *)"
0.0,47104,4,11776.0,11760.0,11456,12128,282.6,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,25055,4,6263.8,6207.5,6144,6496,159.9,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,8992,4,2248.0,2208.0,2080,2496,176.0,"k_norm3(const float *, const float *, const float *, float *, int)"
