Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.6,778962012145,22920,33986126.2,34014709.0,26755512,35176591,439168.4,"void recon_3d_direct_tasklist_vv_real<(int)256, (int)128>(long long, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float2 *, int, int, const int *, int, float *)"
32.9,429681149322,60,7161352488.7,7319649958.5,6155709488,8027438737,661754754.6,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
6.8,89362842982,22920,3898902.4,3904526.5,2881711,4437184,87653.2,"void recon_3d_direct_tasklist_mixed_real<(int)256, (int)128>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, int, float, const int *, int, float *)"
0.6,7963258167,22920,347437.1,347271.0,264141,701807,6198.4,"void build_recon_task_flags_chunk_kernel<(int)128>(int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, float, unsigned char *, unsigned char *)"
0.0,478708267,45840,10443.0,8511.0,5728,35870,3954.2,"void cub::CUB_200302_520_NS::DeviceSelectSweepKernel<cub::CUB_200302_520_NS::detail::device_select_policy_hub<int, unsigned char, int, (bool)0, (bool)0>::Policy900, cub::CUB_200302_520_NS::CountingInputIterator<int, long>, unsigned char *, int *, int *, cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, cub::CUB_200302_520_NS::NullType, cub::CUB_200302_520_NS::NullType, int, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int)"
0.0,100497489,45840,2192.4,928.0,800,11295,1351.1,"void cub::CUB_200302_520_NS::DeviceCompactInitKernel<cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,61315035,3074,19946.3,10015.0,9887,14635948,371715.4,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,5578795,4,1394698.8,1394522.5,1391932,1397818,2767.3,"void build_tile_cone_meta_kernel<(int)256>(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,1715331,2,857665.5,857665.5,857633,857698,46.0,"build_nm1_kernel(const float *, float *, long long)"
0.0,654998,120,5458.3,2272.0,1983,21503,5749.5,"normalize3_inplace_kernel(float *, float *, float *, int)"
0.0,330249,4,82562.3,82474.0,82011,83290,598.6,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,241816,60,4030.3,3936.0,3360,4768,507.5,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,182071,30,6069.0,6112.0,5568,6304,195.6,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,151029,30,5034.3,5024.0,4927,5247,63.6,"k_compute_uvw_xyz_half(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,78935,30,2631.2,2671.0,2463,2848,103.7,"reduce_phase_halfsym_fused_kernel(const float2 *, int, int, const float *, int, float2 *)"
0.0,47260,4,11815.0,11791.0,11711,11967,108.9,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,24799,4,6199.8,6272.0,5824,6431,262.8,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,8575,4,2143.8,2143.5,1760,2528,317.9,"k_norm3(const float *, const float *, const float *, float *, int)"
